Jahr,Qcode,Qname,val
2018,111,Affoltern,0.68
2018,91,Albisrieden,0.53
2018,92,Altstetten,0.68
2018,31,Alt-Wiedikon,0.36
2018,14,City,0.33
2018,24,Enge,0.4
2018,52,Escher Wyss,0.34
2018,71,Fluntern,0.71
2018,33,Friesenberg,0.75
2018,51,Gewerbeschule,0.59
2018,44,Hard,0.43
2018,73,Hirslanden,0.58
2018,123,Hirzenbach,0.52
2018,12,Hochschulen,0.68
2018,101,Höngg,0.4
2018,72,Hottingen,0.42
2018,42,Langstrasse,0.71
2018,23,Leimbach,0.31
2018,13,Lindenhof,0.43
2018,82,Mühlebach,0.62
2018,63,Oberstrass,0.45
2018,115,Oerlikon,0.58
2018,11,Rathaus,0.56
2018,121,Saatlen,0.66
2018,122,Schwamendingen-Mitte,0.47
2018,119,Seebach,0.36
2018,81,Seefeld,0.34
2018,34,Sihlfeld,0.27
2018,61,Unterstrass,0.39
2018,83,Weinegg,0.6
2018,41,Werd,0.33
2018,102,Wipkingen,0.52
2018,74,Witikon,0.39
2018,21,Wollishofen,0.51
