Jahr;Qcode;Qname;val
2018;111;Affoltern;0.33
2018;91;Albisrieden;0.3
2018;92;Altstetten;0.35
2018;31;Alt-Wiedikon;0.58
2018;14;City;0.36
2018;24;Enge;0.71
2018;52;Escher Wyss;0.58
2018;71;Fluntern;0.29
2018;33;Friesenberg;0.3
2018;51;Gewerbeschule;0.48
2018;44;Hard;0.66
2018;73;Hirslanden;0.46
2018;123;Hirzenbach;0.74
2018;12;Hochschulen;0.74
2018;101;Höngg;0.27
2018;72;Hottingen;0.25
2018;42;Langstrasse;0.52
2018;23;Leimbach;0.6
2018;13;Lindenhof;0.39
2018;82;Mühlebach;0.49
2018;63;Oberstrass;0.58
2018;115;Oerlikon;0.63
2018;11;Rathaus;0.39
2018;121;Saatlen;0.29
2018;122;Schwamendingen-Mitte;0.35
2018;119;Seebach;0.38
2018;81;Seefeld;0.34
2018;34;Sihlfeld;0.5
2018;61;Unterstrass;0.53
2018;83;Weinegg;0.62
2018;41;Werd;0.54
2018;102;Wipkingen;0.37
2018;74;Witikon;0.41
2018;21;Wollishofen;0.6
